model_pair,name,description,model,perplexity,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1,rts_reasoning_sample,gemba_score,geval_diagnostic_accuracy,geval_treatment_completeness,geval_patient_safety,rts_score,bias_detected,geval_mean,geval_clinical_relevance,bias_score,geval_clinical_coherence,clinical_msk_score,mean_latency_ms,p50_latency_ms,p95_latency_ms
deepseek_phi4mini,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,15.14869209,0.137284973,0.026155689,0.087060273,0.769726336,0.675853252,0.718617797,"I'll systematically evaluate this case study across the four required dimensions.

---

## Clinical Analysis

### 1. CLINICAL REASONING
The case study provides essentially **no clinical content**. The title ""A Chocolate Case"" is repeated dozens of times with no patient history, symptom description, mechanism of injury, diagnostic reasoning, or differential diagnosis pathway. There is no logic chain from presentation → diagnosis because no presentation or diagnosis is documented.

**Rating: 0/10**

---

### 2. ASSESSMENT COMPLETENESS
There is **no subjective assessment** (no pain scores, onset,",0,0,0,0,0,0,0.04,0,0,0.04,0.1704,1152.136278,1149.848648,1160.955704
deepseek_phi4mini,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,13.83238494,0.108096723,0.019721572,0.070531623,0.77703017,0.659792542,0.711503386,"# MSK Physiotherapy Case Study Evaluation

## Analysis by Dimension

---

### 1. CLINICAL REASONING
The case study contains **no actual clinical content**. The text consists entirely of the repeated phrase ""A Chosen Case Study for"" with no patient presentation, history, symptoms, mechanism of injury, diagnosis, or clinical reasoning whatsoever. There is no logic pathway from presentation to diagnosis because **no presentation or diagnosis exists**.

**Rating: 0/10**

---

### 2. ASSESSMENT COMPLETENESS
There is **no subjective assessment** (no patient history, pain scores, aggravating/easing f",0,0.06,0,0,0.016,0,0.024,0,0.06,0.02,0.1714,1171.072941,1181.81254,1256.160155
gemma3,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,8.557532205,0.182161365,0.045963809,0.096449353,0.792180717,0.739504933,0.764793992,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Major Issues Identified:**
- The introduction contains a **fundamental anatomical error**: the Achilles tendon does NOT run ""along the inside of the big toe"" — it connects the gastrocnemius/soleus complex to the calcaneus (heel bone), not the shinbone
- The condition is described as ""Chronic Tendon Disease"" yet the pathophysiology explanation is superficial and inaccurate
- The diagnostic reasoning is vague — ""combination of physical examina",0.06,0.08,0,0.04,0.076,0.1,0,0.02,0.064,0.12,0.2176,1016.34106,1015.538185,1022.601785
gemma3,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,6.954400992,0.195701834,0.048404787,0.103542127,0.791407764,0.735311568,0.762276292,"I'll systematically evaluate this case study across each dimension.

---

## 1. CLINICAL REASONING

The anatomical description is **fundamentally incorrect** throughout:
- The Achilles tendon is **not** located in the posterior thigh — it is in the posterior **leg/ankle** region
- It connects the gastrocnemius/soleus complex to the **calcaneus**, not ""heel to ankle""
- The description of ""three types"" (anterior, medial, posterior Achilles tendons) is **entirely fabricated** — there is one Achilles tendon
- The talus does **not** cover the Achilles tendon
- The clinical impression is **incomplet",0.08,0.1,0,0.06,0.12,0.08,0,0.04,0.072,0.08,0.2268,1027.558113,1015.308547,1080.392602
gemma3,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,6.824428113,0.187077475,0.044820528,0.098313399,0.791040123,0.732342601,0.760473669,"I'll systematically evaluate each dimension of this clinical case study.

---

## 1. CLINICAL REASONING
**Logic from presentation → diagnosis**

The case study provides virtually **no clinical reasoning**. There is no patient history, no mechanism of injury, no symptom description, no aggravating/easing factors, and no differential diagnosis process. The diagnosis of Achilles tendinopathy is simply stated without any supporting reasoning or justification. There is no link between findings and the clinical hypothesis.

**Rating: Very Poor**

---

## 2. ASSESSMENT COMPLETENESS
**Subjective, obje",0.1,0.14,0,0.1,0.176,0.1,0,0.08,0.124,0.2,0.2569,890.5429484,889.99285,895.2304038
gemma3,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,6.779852319,0.198825414,0.051241563,0.108458533,0.798472345,0.739504516,0.767763734,"# MSK Physiotherapy Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Major concerns:**
- The case contains a **fundamental anatomical error**: the Achilles tendon does not have a distinct ""medial aspect"" that is clinically differentiated in standard Achilles tendon pathology. This suggests either confusion with posterior tibial tendon pathology or a lack of anatomical precision.
- The description states the patient is in the ""acute phase"" yet the introduction refers to it as a ""chronic injury"" — this is a **direct contradic",0.1,0.14,0,0.08,0.136,0.1,0,0.04,0.104,0.16,0.2444,897.0308609,896.350195,900.3303152
llama_3b_1b,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,10.86152102,0.192101219,0.042697873,0.097038575,0.790007591,0.734227002,0.761025071,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Assessment: POOR**

The case study presents only rudimentary clinical reasoning. The pathway from symptom presentation to diagnosis is superficially described:
- The abstract mentions ""inflammation of the tendon"" without distinguishing between **tendinopathy vs. tendinitis** (a critical contemporary distinction — modern literature favours the term tendinopathy as true inflammatory pathology is rarely confirmed)
- No differential diagnosis is consi",0.24,0.06,0.4,0.2,0.12,0,0,0.204,0.304,0.2,0.3289,1748.978634,1746.352818,1764.600115
llama_3b_1b,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,22.61812229,0.186231655,0.04236624,0.098431586,0.775339603,0.714666188,0.74367696,"# Clinical Case Study Evaluation: Sarah – Achilles Tendinopathy

---

## DIMENSION 1: CLINICAL REASONING

### Presentation → Diagnosis Analysis

**Strengths:**
- Age (38) and activity profile are consistent with Achilles tendinopathy
- Posterior ankle pain with loading activities is a classic presentation
- Weight transfer difficulty is clinically relevant

**Critical Weaknesses:**
- **Diagnostic inconsistency:** The case states pain is ""not relieved by rest or ice"" in the subjective history, yet the physical examination section contradicts this, stating pain ""was relieved by rest or ice"" — a ",0.148,0.06,0.04,0.24,0.08,0.2,0.12,0.14,0.2,0.12,0.2174,693.3208998,692.4653105,696.0056189
llama_3b_1b,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,12.74345463,0.180390747,0.034182465,0.094537677,0.779483378,0.724270225,0.750750065,"# Expert MSK Physiotherapy Evaluation

## Condition: Achilles Tendon Case Study

---

## 1. CLINICAL REASONING

**Assessment: Poor**

The clinical reasoning is significantly flawed and incomplete:

- The presentation describes **heel pain with bruising and swelling** but **no trauma** — this is a contradictory and clinically concerning picture that warrants urgent differential diagnosis (e.g., Achilles tendon rupture, calcaneal stress fracture, retrocalcaneal bursitis)
- The case loosely implies **Achilles tendinopathy/tendonitis** yet never explicitly confirms a diagnosis
- The link between o",0.234,0.08,0.08,0.34,0.26,0,0.168,0.22,0,0.12,0.3121,696.3415481,696.2608,697.5913279
llama_3b_1b,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,12.02370958,0.193461441,0.04396846,0.107381521,0.790317297,0.718328476,0.752365708,"# MSK Physiotherapy Case Study Evaluation: Achilles Tendon Rupture

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Critical Flaws Identified:**
- The case contradicts itself — the patient is diagnosed with **both Grade 3 AND ""Grade 3 and 4""** Achilles tendon rupture, which is clinically incoherent. Achilles tendon grading does not typically use a Grade 4 classification in standard MSK frameworks
- A **26-year-old female** presenting with ""low level pain and limited mobility"" is an **atypical and insufficiently justified** presentation for a com",0.216,0.02,0.02,0.2,0.08,0,0.092,0.16,0,0.06,0.2542,692.6363138,692.4244,693.6441444
llama_3b_1b,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,12.09827608,0.187787589,0.045745416,0.105035725,0.791169524,0.724693537,0.756236553,"# MSK Physiotherapy Case Study Evaluation: Achilles Tendon Rupture

## 1. CLINICAL REASONING

**Presentation → Diagnosis Logic:**
- The case identifies a 35-year-old male with an Achilles tendon rupture, which is **epidemiologically plausible** (peak incidence 30-40 years, male predominance)
- However, the **mechanism of injury is completely absent** — no description of how the rupture occurred (e.g., sudden push-off, forced dorsiflexion, audible ""pop"")
- The anatomical description contains a **significant error**: describing the Achilles tendon as ""highly innervated"" and ""supplied by lower mo",0.252,0.08,0.08,0.3,0.1,0,0.176,0.28,0,0.14,0.2888,692.6008792,692.790481,693.287727
medgemma_text,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,10.92450427,0.160021807,0.037225104,0.085157825,0.76400429,0.738411129,0.75075537,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension 1: CLINICAL REASONING

**Logic from Presentation → Diagnosis Analysis:**

The clinical reasoning pathway demonstrates **partial soundness** but has notable gaps:

**Strengths:**
- Insertional location (posterior heel at Achilles insertion) is correctly identified
- Classic symptom pattern recognized: morning stiffness, ""warm-up"" phenomenon (improves then worsens), insidious onset
- Relevant occupational loading factors acknowledged (prolonged standing, walking on construction sites)
- Age and sex demographics align with typical i",0.42,0.5,0.296,0,0.28,0.52,0.2,0.08,0,0.32,0.4267,3968.569889,3970.336933,3983.783007
medgemma_text,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,6.556174121,0.192819174,0.042418955,0.09721261,0.784748673,0.735578001,0.759268582,"# MSK Physiotherapy Case Study Evaluation

## 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Strengths:**
- The mechanism is plausible: a 50-year-old male with a sedentary-to-active transition (sudden introduction of a run/walk program) is a classic at-risk profile for Achilles tendinopathy
- Occupational loading (prolonged standing, 12-hour shifts as a firefighter) as a contributing factor is clinically relevant and acknowledged
- The progression of symptoms (4 weeks, worsening despite rest and ice) is consistent with a tendinopathic rather than purely inflammatory presentation

**",0.28,0.46,0.244,0,0.26,0.4,0.12,0.1,0,0.1,0.3426,2073.533355,2081.59229,2134.519717
medgemma_text,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,5.913907991,0.167095588,0.036731143,0.085870738,0.769028485,0.721222878,0.744178891,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendon Case Analysis

---

## 1. CLINICAL REASONING

**Evaluation:**
The case study presents a broad introductory overview of the Achilles tendon and its associated injury risk factors. However, there is a **critical absence of clinical reasoning**:

- No patient presentation is described (age, sex, occupation, mechanism of injury)
- No symptom description (pain location, onset, duration, behaviour)
- No differential diagnosis process demonstrated
- No pathological classification (tendinopathy vs. rupture vs. insertional vs. mid-p",0.12,0.2,0.112,0,0.1,0.236,0.08,0.06,0,0.1,0.2644,2080.904616,2081.955899,2091.691925
medgemma_text,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,6.506098944,0.171253256,0.033346524,0.085949391,0.762261927,0.723613143,0.742340922,"# MSK Physiotherapy Clinical Case Evaluation: Achilles Tendon Rupture

---

## DIMENSION 1: CLINICAL REASONING

### Presentation → Diagnosis Pathway

**Strengths:**
- The mechanism of injury is **classically consistent** with Achilles tendon rupture — sudden sharp pain, audible/felt ""pop,"" immediate inability to bear weight during occupational loading activity
- The acute presentation is well-described with appropriate emergency pathway (ED diagnosis)
- Re-rupture context (12 months post-surgical repair) is clinically significant and appropriately noted — re-rupture risk is a documented compli",0.14,0.2,0.36,0.2,0.424,0.1,0.248,0.38,0.16,0.24,0.3178,2047.903517,2047.479332,2080.963195
medgemma_text,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,6.558821799,0.159968186,0.032023063,0.082952394,0.755042911,0.717956662,0.735821605,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendon Case Analysis

---

## 1. CLINICAL REASONING
**Logic from Presentation → Diagnosis**

The case study provides **extremely limited clinical reasoning**. While it identifies the patient as a 55-year-old male with ""symptoms of Achilles tendonitis,"" there is:
- No description of the specific presenting symptoms (e.g., morning stiffness, pain with activity, localised tenderness)
- No differential diagnosis consideration (e.g., ruling out insertional vs. mid-portion tendinopathy, partial tear, retrocalcaneal bursitis)
- No mechan",0.16,0,0.34,0,0.364,0.1,0.2,0.3,0.12,0.14,0.3285,2040.531512,2023.784522,2105.259544
medgemma3,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,6.03420005,0.197339259,0.050917308,0.106465016,0.802253842,0.740709484,0.770177007,"# MSK Physiotherapy Case Study Evaluation: Achilles Tendon

## Detailed Analysis by Dimension

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Critical Findings:**

The clinical reasoning in this case study is **severely flawed and internally inconsistent**:

- The history describes pain on the **""right side of the foot""** then contradictorily describes pain on **""left side of the foot""** — demonstrating copy-paste errors and lack of coherent narrative
- The symptom description mentions elevators and stair walking, which could loosely relate to Achilles loading, but the specificit",0.104,0.04,0.02,0.26,0.06,0,0.104,0.12,0,0.08,0.2287,736.4377648,736.380786,737.9877996
medgemma3,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,6.906200817,0.199448361,0.051105557,0.101056282,0.799122453,0.744583011,0.770814717,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING
**Assessment: Very Poor**

The clinical reasoning contains fundamental contradictions and implausibilities:
- A 16-year-old sustaining an **acute heel fracture** requiring **14-hour surgery to create a new socket** is anatomically and clinically implausible for an Achilles tendon case
- The case conflates **fracture management** with **tendon pathology** without logical connection
- The diagnosis pathway from presentation → diagnosis is never completed; the case literally trai",0.158,0.06,0.12,0.2,0.1,0,0.128,0.14,0,0.12,0.2558,901.7548331,901.5967341,903.3028204
medgemma3,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,5.132300631,0.196086643,0.047311699,0.101522517,0.796988547,0.747465909,0.771345496,"# MSK Physiotherapy Case Study Evaluation: Achilles Tendon

---

## 1. CLINICAL REASONING

**Assessment: Very Poor**

The clinical reasoning presented contains multiple fundamental anatomical and clinical errors:

- **Critical Anatomical Error**: The Achilles tendon connects the **gastrocnemius and soleus** to the **calcaneus (heel bone)** — NOT the gluteus medius/minimus. This is a foundational error that undermines the entire case.
- The claim that the Achilles tendon is ""the most common cause of acute low back pain, hip pain, and chronic low back pain"" is **clinically unfounded and factuall",0.096,0.04,0.06,0.24,0.1,0,0.124,0.2,0,0.08,0.2394,899.8591039,899.778287,902.4715484
medgemma3,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,5.333070441,0.197519894,0.052582947,0.105316873,0.803951621,0.74582243,0.773744226,"# MSK Physiotherapy Case Study Evaluation: Achilles Tendon

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING
**Rating: Very Poor**

The clinical reasoning is fundamentally flawed and incoherent. The case conflates multiple injury mechanisms (car accident, fall, sports injury) without committing to a single coherent mechanism. The anatomical description is incorrect — the Achilles tendon runs from the **calcaneus (heel) to the gastrocnemius/soleus complex**, not ""from the heel to the back of the foot."" There is no differential diagnosis, no pathoanatomical reasoning, no gradin",0.166,0.06,0.08,0.28,0.1,0,0.152,0.2,0,0.14,0.2648,899.3918465,899.2703635,900.5022409
medgemma3,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,5.322166662,0.189008696,0.049029,0.099435997,0.794948101,0.73821348,0.765387237,"# MSK Physiotherapy Case Study Evaluation: Achilles Tendon

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Significant deficiencies identified:**

- The case description is **superficial and incomplete** — it describes ""chronic Achilles tendon pain"" but provides no differential diagnosis reasoning (e.g., distinguishing mid-portion tendinopathy vs. insertional tendinopathy vs. partial rupture)
- No mechanism of injury is clearly established for *this patient specifically*
- The introduction contains **factually questionable/inconsistent statisti",0.14,0.02,0.06,0.22,0.1,0,0.104,0.14,0,0.08,0.244,902.7954698,902.723101,904.320529
mistral_tiny,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,4917.307495,0.157677685,0.032903874,0.084757043,0.786665499,0.710584283,0.745631218,"# MSK Physiotherapy Case Study Evaluation: Achilles Tendon Rupture

---

## 1. CLINICAL REASONING

**Presentation → Diagnosis Logic:**

The clinical reasoning pathway is **partially sound but incomplete**:

✅ **Strengths:**
- Classic mechanism of injury is well described (basketball, explosive movement, audible ""pop"")
- The ""pop"" + immediate sharp posterior ankle pain is a hallmark presentation of ATR
- Inability to weight-bear is consistent with complete rupture
- Positive Thompson test is appropriately cited as confirmatory for complete ATR
- Swelling and bruising are consistent clinical fin",0.32,0.2,0.332,0.14,0.06,0,0.1,0.24,0,0.24,0.3106,1424.549591,1420.471852,1442.550804
mistral_tiny,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,37.60432662,0.145765259,0.02743914,0.079874171,0.770204365,0.708028972,0.737703502,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Strengths:**
- Chronicity (6 months) is acknowledged
- Prior surgical history and recurrent injury are noted
- Atrophic tendon findings are clinically plausible post-surgery

**Weaknesses:**
- The diagnosis label ""Achilles Tendonitis"" is clinically imprecise — post-surgical, chronic presentation with atrophy would more accurately be classified as **Achilles Tendinopathy** (degenerative) rather than tendonitis (inflammatory)
- The gait descri",0.26,0.16,0.288,0.1,0.12,0,0.14,0.16,0,0.16,0.2955,1296.724746,1305.594998,1333.897831
mistral_tiny,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,99.85732286,0.149378994,0.029321807,0.082342528,0.781627178,0.70923543,0.74332124,"# MSK Physiotherapy Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Major Concerns:**
- The clinical reasoning is significantly flawed. Achilles tendinopathy **does not** typically radiate pain down the back. This symptom pattern is more consistent with lumbar radiculopathy, sciatic nerve involvement, or referred pain from the lumbar spine.
- No differential diagnosis is considered or ruled out (e.g., deep vein thrombosis, plantaris rupture, lumbar nerve root compression, sural nerve entrapment).
- No mechanism of in",0.16,0.116,0.206,0.1,0.06,0,0.1,0.12,0,0.14,0.2574,861.4894429,860.1967705,865.6563991
mistral_tiny,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,12.10066225,0.14652784,0.033691667,0.082310258,0.787089407,0.70793128,0.745061636,"# MSK Physiotherapy Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Assessment: Poor**

- The case mentions ""chronic right Achilles tendon pain"" alongside ""recent trauma"" — these are **contradictory descriptors** that are never reconciled. Chronic pain implies a long-standing condition (>3 months), whereas recent trauma suggests an acute event; no explanation bridges these findings.
- The relationship between **plantar fasciitis history** and current Achilles pathology is acknowledged but never clinically explored (e.g., b",0.2,0.12,0.204,0.1,0.06,0,0.16,0.12,0,0.12,0.2702,864.0173205,861.4824605,872.9006595
