model,name,description,model,perplexity,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1,rts_reasoning_sample,geval_treatment_completeness,bias_detected,rts_score,geval_diagnostic_accuracy,gemba_score,bias_score,geval_mean,geval_clinical_coherence,geval_clinical_relevance,geval_patient_safety,clinical_msk_score,mean_latency_ms,p50_latency_ms,p95_latency_ms
llama_tiny,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,9.906145924,0.174076878,0.042411002,0.095531243,0.787840366,0.722758651,0.753786087,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendon Case Study Analysis

---

## 1. CLINICAL REASONING – Presentation → Diagnosis

**Analysis:**
The case study demonstrates **severely deficient clinical reasoning**. There are multiple glaring errors and omissions:

- The case describes Achilles tendon as ""the **muscle** that connects the lower leg to the heel bone"" — this is **anatomically incorrect**; the Achilles tendon is a **tendon**, not a muscle
- The terms ""Achilles tendonitis"" and ""degenerative condition"" are used interchangeably without differentiation — clinically,",0.12,0.1,0.136,0.16,0,0.236,0,0.2,0.06,0.24,0.2933,889.4497563,887.7265749,896.5967958
llama_tiny,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,21.28849698,0.146880478,0.032027544,0.080052444,0.776430726,0.70822084,0.740522861,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendon Case Analysis

---

## 1. CLINICAL REASONING

**Assessment: Poor**

The clinical reasoning presented contains several significant deficiencies:

- The **Beck Manning Assessment Questionnaire (BMAQ)** is **not a recognised, validated outcome measure** for Achilles tendon pathology. Standard validated tools include the **VISA-A (Victorian Institute of Sport Assessment - Achilles)**, the **FAAM (Foot and Ankle Ability Measure)**, or the **ATRS (Achilles Tendon Total Rupture Score)**. This undermines the credibility of the enti",0.1,0.06,0.12,0.12,0,0.212,0,0.1,0.08,0.24,0.2591,890.2365848,889.52579,894.5715319
llama_tiny,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,28.01286785,0.156843625,0.036159613,0.086143784,0.788045049,0.720462382,0.752647758,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Analysis:**
The case study contains **significant anatomical inaccuracies** that undermine clinical credibility:
- The Achilles tendon connects the calcaneus to the **gastrocnemius/soleus complex (calf muscles)**, NOT to the tibia
- The description of the tendon being ""covered by a sheath lined with smooth muscle"" is anatomically incorrect — it is a **paratenon**, not smooth muscle
- No differential diagnosis is attempted
- No clear clinical",0.08,0.06,0.1,0.1,0.4,0.196,0.4,0.1,0.04,0.22,0.2025,892.69651,892.462244,897.8225951
llama_tiny,A6_fixed_rank_lora,Full method with fixed uniform LoRA rank (r=16) — isolates benefit of dynamic rank allocation,A6_fixed_rank_lora,28.18267882,0.163279408,0.035454827,0.092166602,0.787640095,0.720398545,0.752473414,"# MSK Physiotherapy Clinical Case Study Evaluation

## Condition: Achilles Tendon Pain – 25-year-old Female

---

## Dimension-by-Dimension Analysis

### 1. CLINICAL REASONING
**Assessment: Very Poor (1/10)**

The case study demonstrates significant fundamental flaws in clinical reasoning:

- **Repetitive and circular content**: The history of right ankle sprain is stated **four times verbatim**, indicating copy-paste errors and a lack of structured clinical thinking
- **Incomplete narrative**: The case literally ends mid-sentence (""She had a history of right ankle sprain"") suggesting an unfin",0.1,0.06,0.104,0.14,0,0.204,0,0.1,0.04,0.18,0.2567,892.133645,891.116056,897.2849544
qwen_3b_0.5b,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,13.67319031,0.17739353,0.03288271,0.084681992,0.764455199,0.726037323,0.744621158,"# MSK Physiotherapy Clinical Case Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Strengths:**
- The clinical presentation is coherent and consistent: 45-year-old female, chronic history, failed RICE/NSAIDs, pain with prolonged loading activities (standing, walking), reduced jump/run capacity
- Physical findings (tendon tenderness, palpable thickening, reduced dorsiflexion ROM) align well with established Achilles tendinopathy diagnostic criteria
- Imaging correlation (MRI high signal intensity, ultrasound confirmation) appropr",0.3,0.2,0.276,0.28,0,0.472,0,0.1,0.1,0.5,0.3644,1873.816673,1873.008037,1877.261731
qwen_3b_0.5b,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,16.83126401,0.176195048,0.030817516,0.083157763,0.761912942,0.723193467,0.74197787,"# MSK Physiotherapy Clinical Case Evaluation: Achilles Tendon

---

## 1. CLINICAL REASONING

**Presentation → Diagnosis Analysis:**

The case presents several **logical inconsistencies and contradictions**:

- The patient is described as both a ""retired professional basketball player"" **and** someone ""injured in a collision with another player in a car accident"" — these are contradictory contexts that are never reconciled
- The mechanism shifts from a **mild calf strain** → progressive Achilles tendinopathy, which is plausible, but the causal chain is poorly established
- Left leg fractures r",0.16,0.1,0.156,0.18,0,0.234,0,0.24,0.08,0.26,0.3022,1064.344097,1064.11468,1066.289471
qwen_3b_0.5b,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,80.89054923,0.187436514,0.037162883,0.086592699,0.767260075,0.723167658,0.744495153,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Multiple significant errors identified:**

- **Anatomical inaccuracy**: Achilles tendinitis is described as occurring on the **anterior surface** of the Achilles tendon. This is factually incorrect — Achilles tendinopathy typically affects the **posterior** tendon, with insertional tendinopathy at the **posterior** calcaneal attachment.
- **Inconsistent laterality**: The chronic pain is described as right foot, yet the chronic ankle sprain h",0.206,0.04,0.1,0,0.12,0.092,0.12,0,0.04,0.14,0.2521,962.4679677,961.3314625,967.2689979
qwen_3b_0.5b,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,23.35471885,0.182984194,0.033088337,0.084088636,0.766565144,0.722650409,0.743883431,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Strengths:**
- The presentation of chronic Achilles pain with activity-related exacerbation, stiffness, and difficulty with full plantarflexion/dorsiflexion is broadly consistent with Achilles tendinopathy
- Duration (6 years) and mechanism (overuse from gym/recreational activity) are plausible etiological factors
- Gastrocnemius tightness as a contributing factor is clinically relevant

**Weaknesses:**
- **Critical terminological error:** T",0.284,0.1,0.14,0,0.22,0.16,0.14,0,0.12,0.22,0.2962,975.5394595,964.0106845,1013.085087
qwen_3b_0.5b,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,18.59534408,0.187494343,0.034325305,0.085193947,0.766966879,0.722039282,0.743753016,"# MSK Physiotherapy Clinical Case Analysis: Achilles Tendon

---

## Preliminary Observations

Before proceeding with dimensional analysis, several **critical inconsistencies** within the case study itself must be flagged:

- Patient is described as ""mid-30s"" but stated as **28 years old**
- He is described as a **construction worker with chronic lower back pain**, yet the primary complaint shifts to **Achilles tendon rupture** with no clear mechanism linking the two
- **""Rupture of a tendon from the Achilles muscle""** is anatomically imprecise — the Achilles tendon connects the gastrocnemius/",0.23,0.06,0.16,0,0.16,0.12,0.12,0.066666667,0.1,0.16,0.2768,982.1896708,979.8041474,1009.609076
qwen_3b_0.5b,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,18.5488745,0.19490897,0.035765708,0.090233739,0.76900512,0.722179115,0.744801939,"# Clinical Case Study Evaluation: Achilles Tendon Condition

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Major concerns:**
- The case is labelled as an **Achilles Tendon** condition, yet the clinical presentation is poorly aligned with this diagnosis
- The mechanism (fall on hard surface) could be consistent with Achilles pathology, but the described symptom location is contradictory and inconsistent throughout:
  - ""Pain along the **lateral** aspect of lower leg"" → suggests peroneal/fibular involvement
  - ""Sharp pain localized to the **med",0.222,0.08,0.1,0,0.16,0.112,0.14,0,0.06,0.12,0.2615,992.6366919,991.5378831,1010.754843
qwen_3b_0.5b,A6_fixed_rank_lora,Full method with fixed uniform LoRA rank (r=16) — isolates benefit of dynamic rank allocation,A6_fixed_rank_lora,18.67362976,0.174223287,0.030052022,0.084755622,0.765628755,0.724081933,0.744175494,"I'll systematically evaluate this clinical case study across all four dimensions.

---

## 1. CLINICAL REASONING

**Presentation → Diagnosis Analysis:**

The case presents significant logical inconsistencies:

- **""Cullen's sign""** is a clinical sign indicating retroperitoneal hemorrhage (periumbilical bruising) — it has **no relevance** to Achilles tendon pathology. This appears fabricated or misapplied.
- **""RICE test""** is not a diagnostic test — RICE is a treatment protocol (Rest, Ice, Compression, Elevation). Using it as a confirmatory test is clinically nonsensical.
- **""Left ankle Buerg",0.202,0.08,0.2,0,0.18,0.12,0.12,0,0.08,0.14,0.2778,983.4777989,986.498124,998.3040142
smollm2,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,15.379355,0.018754106,0.006007233,0.016935632,0.79022485,0.592514932,0.6762532,"I'll evaluate this case study across the four clinical reasoning dimensions.

## Analysis

### 1. CLINICAL REASONING
The case study appears to contain no actual clinical content — only repeated placeholder headings (""Achilles Tendon: Case Study"") with no patient history, mechanism of injury, symptom description, differential diagnosis, or diagnostic reasoning presented. There is no logical pathway from presentation to diagnosis because no presentation or diagnosis is documented.

**Rating: 0/10** — No clinical reasoning content exists.

### 2. ASSESSMENT COMPLETENESS
There is no subjective ass",0,0,0,0,0,0,0,0,0,0,0.1369,1436.030695,1433.993098,1462.995747
smollm2,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,66.635667,0.155790142,0.02941358,0.089737097,0.758940816,0.688464344,0.721841037,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendon Case Analysis

---

## 1. CLINICAL REASONING

**Evaluation:**
The presentation is broadly consistent with **chronic Achilles tendinopathy** (mid-portion or insertional) given:
- 55-year-old male ✓ (typical demographic)
- Months-long duration → chronic/degenerative phase ✓
- Runner with progressive load increase ✓
- Pain, swelling, stiffness ✓
- Morning stiffness implied ✓

**Deficiencies:**
- No differentiation between **mid-portion vs. insertional tendinopathy** — clinically critical distinction that drives treatment
- No ",0.06,0,0.212,0,0.12,0.088,0.04,0.16,0.12,0.06,0.2523,1271.442526,1269.793403,1276.433187
smollm2,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,17.14532598,0.137764983,0.02564087,0.082144478,0.759451568,0.686974227,0.721063972,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendon Condition Analysis

---

## 1. CLINICAL REASONING

**Evaluation:**
The case presents a 35-year-old male with ankle pain, swelling, and history of high-impact sports (football). However, the clinical reasoning pathway is **significantly flawed**:

- The title states ""Achilles Tendon"" condition, yet the history describes **lateral ankle tendonitis** (""outside of the ankle""), which would suggest peroneal tendinopathy — a **different structure entirely**
- Achilles tendon pathology typically presents with **posterior heel/mid-t",0.1,0,0.25,0,0.22,0.104,0.06,0.18,0.1,0.08,0.2849,1268.257996,1267.72941,1272.388799
smollm2,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,11.66178296,0.149986239,0.030871905,0.082678254,0.772735953,0.682600379,0.723485649,"I'll systematically evaluate this clinical case study across the four specified dimensions.

---

## 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Major Issues:**
- The case presents **significant contradictions**: the patient has pain in his *right* Achilles tendon, yet the swelling/tenderness is described in the *left* Achilles tendon at one point, then switches back to the right ankle
- The history of ankle sprain as a precursor to Achilles tendinopathy is plausible but **underdeveloped** — no mechanism of injury explained
- The 10-20% strength reduction figure appears **repeate",0.04,0,0.164,0,0.06,0.06,0.02,0.12,0.08,0.04,0.221,409.1286298,408.6322299,412.7943096
smollm2,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,11.79485225,0.167848367,0.036198226,0.091112229,0.773281276,0.706418872,0.7380445,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Significant concerns identified:**

- The diagnosis of ""degenerative Achilles tendonitis"" is **terminologically outdated and contradictory** — degenerative pathology is now correctly termed **tendinopathy** (not tendinitis, which implies acute inflammation)
- ""Lower end of the ankle"" is **anatomically imprecise** — Achilles pathology is typically insertional (at calcaneal attachment) or mid-portion (~2-6cm above insertion); this distinction is cli",0.12,0,0.24,0,0.14,0.124,0.08,0.22,0.12,0.08,0.2757,1267.131199,1267.223397,1268.457403
smollm2,A6_fixed_rank_lora,Full method with fixed uniform LoRA rank (r=16) — isolates benefit of dynamic rank allocation,A6_fixed_rank_lora,11.73907266,0.170635996,0.035215113,0.093069005,0.775800645,0.70189023,0.736515284,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendinopathy – 25-Year-Old Female Runner

---

## 1. CLINICAL REASONING

**Presentation → Diagnosis Logic:**

**Strengths:**
- The demographic profile is clinically appropriate: a 25-year-old female runner returning from a high-volume marathoning season is a classic risk profile for Achilles tendinopathy
- Load-related pain pattern is partially captured (pain during/after running, lasting 2-3 days post-activity)
- Activity-specific aggravating factors (running, jumping, toe-loading) are consistent with Achilles tendinopathy presen",0.06,0,0.188,0,0.08,0.076,0.04,0.14,0.1,0.04,0.2386,411.5804914,410.780362,415.4292744
medgemma3,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,15.73031067,0.163882258,0.036752364,0.09318939,0.775199533,0.71615684,0.744318008,"# MSK Physiotherapy Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Major deficiencies identified:**
- The anatomical description is **factually incorrect** — the Achilles tendon runs from the calcaneus (heel bone) to the gastrocnemius/soleus muscle complex, **not** ""from the heel to the back of the thigh""
- The clinical narrative is **internally contradictory** and incoherent: the patient is simultaneously ""walking on a treadmill for 30 minutes"" yet ""unable to walk for 3 days""
- No differential diagnosis is offered (ruptu",0.122,0.08,0,0.02,0,0.1,0.02,0.08,0.08,0.06,0.2197,1003.194007,1002.788593,1006.774425
medgemma3,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,12.46082522,0.168803712,0.036693951,0.096858181,0.7763533,0.714746475,0.74409616,"# MSK Physiotherapy Case Study Evaluation: Achilles Tendon

## Clinical Analysis

---

### 1. CLINICAL REASONING
**Logic from Presentation → Diagnosis**

The case study provides **extremely limited clinical information**. There is:
- A named condition (Achilles Tendon pathology)
- A mention of ""complication of a previous injury""
- No mechanism of injury described
- No symptom presentation (pain location, nature, aggravating/easing factors)
- No diagnostic pathway demonstrated
- No differential diagnosis consideration

**Assessment: Very Poor** — The reasoning chain is entirely absent. No clini",0.068,0.1,0,0.04,0,0.06,0,0.06,0.06,0.044,0.2065,1005.130785,1004.822091,1008.434934
medgemma3,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,12.96636785,0.175197632,0.037915091,0.097094858,0.77520299,0.713304937,0.742758036,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendon Case Analysis

---

## 1. CLINICAL REASONING
**Is the logic from presentation → diagnosis sound?**

The case study presents a 22-year-old male with chronic Achilles tendon pain, stiffness, and tenderness. However, the clinical reasoning is **severely deficient**:

- The history is **repetitive and circular**, with the same sentences about ""history of past tendon injuries"" repeated verbatim multiple times with no new clinical information added
- There is **no differential diagnosis** process documented (e.g., distinguishing ",0.064,0.1,0,0.02,0,0.06,0.02,0.02,0.04,0.032,0.2023,999.1777527,998.3336205,1003.776828
medgemma3,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,12.99197882,0.184325739,0.040825562,0.1040903,0.776652932,0.712050915,0.742678523,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendon Case – 65-year-old Female

---

## 1. CLINICAL REASONING

**Assessment: Very Poor**

The clinical reasoning chain from presentation to diagnosis is severely flawed:

- The case presents **multiple contradictions and redundancies** – the patient is repeatedly diagnosed with ""chronic lower back pain"" in circular, copy-paste fashion (mentioned 4-5 times without progression)
- The **primary complaint** (ankle injury during a daily walk → suspected Achilles tendon involvement) is never logically connected to a differential diagn",0.12,0.08,0,0.02,0,0.08,0.04,0.06,0.06,0.052,0.2179,998.344928,998.0189914,1003.159951
medgemma3,A6_fixed_rank_lora,Full method with fixed uniform LoRA rank (r=16) — isolates benefit of dynamic rank allocation,A6_fixed_rank_lora,13.08338498,0.175752332,0.034273532,0.098109363,0.774918854,0.712630212,0.742289901,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Major Concerns:**
- The mechanism of injury is implausible and contradictory: a ""fall from a tree on his first day of school"" for a **26-year-old** is contextually incoherent
- The case simultaneously describes the injury as ""recent"" (past year) yet ""chronic"" (>6 months) — these are inconsistently applied
- The text confusingly states the injury is ""not self-healing"" then calls it ""self-rehabilitation,"" without explaining the distinction cli",0.108,0.08,0,0.02,0,0.1,0.04,0.08,0.06,0.06,0.2163,1002.650315,1002.514195,1005.176015
medgemma_text,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,6.862785398,0.199842662,0.049991042,0.10130071,0.801114857,0.739851296,0.769145668,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendinopathy – Expert Analysis

---

## 1. CLINICAL REASONING
**Logic from Presentation → Diagnosis**

**Strengths:**
- Appropriate demographic profile (45-year-old male, active individual) aligns with typical Achilles tendinopathy presentation
- Insidious onset correctly identified as hallmark of tendinopathy vs. acute rupture
- Bilateral presentation noted, which is clinically plausible and relevant
- Mid-portion classification specified, distinguishing from insertional tendinopathy (important for treatment selection)

**Weaknes",0.32,0.12,0.1,0.34,0,0.24,0.56,0.46,0,0.492,0.392,4513.005994,4505.695692,4548.810346
medgemma_text,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,8.283439938,0.173252262,0.038968615,0.088397081,0.772731662,0.721246362,0.745883584,"# MSK Physiotherapy Clinical Case Study Evaluation

## Mr. John Smith – Right Ankle/Achilles Tendon Presentation

---

## 1. CLINICAL REASONING

### Strengths:
- The presentation has several features consistent with **Achilles tendinopathy** (insertional or mid-portion):
  - 50-year-old male (appropriate demographic)
  - Dull ache in the lower heel region
  - Activity-related pain (worsening after >20 minutes walking/running)
  - Morning stiffness
  - Recent increase in training load (progressive overload – a classic precipitating factor)
  - Decrease in running speed/distance (functional decl",0.18,0.1,0.22,0.164,0,0.1,0.24,0.2,0,0.324,0.324,1908.774926,1907.356906,1913.917671
